Policy,Year,Population (B),GDP ($T),GDP After Damage ($T),GDP PC ($K),Emissions (Gt CO₂),CO₂ (ppm),Temp Increase (°C),Climate Damage (%),Pollution Damage (%),Consumption PC ($K),Pop Growth Rate (%)
Regulatory Mandates,76,11.169272656434497,500.51721550498223,469.3001237876091,42.017071140012895,21.710631738755648,496.626964081319,3.4576129977645413,3.3952448904161248,3.256594760813347,29.411949798009026,0.20330985091732146
Regulatory Mandates,77,11.19175125482126,512.36018151483,480.1849248469515,42.905253513393994,21.60666154084434,496.24744762474995,3.4902266809088984,3.45959776869245,3.240999231126651,30.033677459375795,0.20125391400318549
Regulatory Mandates,78,11.21404618201084,524.5468179170481,491.37865750933275,43.81814106469298,21.505463262607023,495.8497607979766,3.5226635800440604,3.5242010702799496,3.2258194893910535,30.67269874528509,0.19920856604078718
Regulatory Mandates,79,11.23615739963076,537.0909116409981,502.8936630712494,44.756730008763974,21.4071047976571,495.43467092153355,3.5549160687894776,3.5890296247430884,3.2110657196485657,31.32971100613478,0.197174304983605
Regulatory Mandates,80,11.2580849415989,550.0069532036182,514.7429113367275,45.72206676419182,21.311655315746666,495.00295198647115,3.5869768374668736,3.6540584044367748,3.1967482973620003,32.005446734934274,0.1951516091155847
Adaptation & Resilience,0,8.0,91.31115000000003,87.97122498284529,10.99640312285566,32.50676940000001,425.0,1.5,0.3834,3.413210787000001,7.697482185998962,0.0
Adaptation & Resilience,1,8.08,93.6571728882003,90.2070195952811,11.164235098425879,32.7691121126784,427.61762733802817,1.5010740099204267,0.38394923042726364,3.4407567718312317,7.814964568898114,1.0000000000000009
Adaptation & Resilience,2,8.154787811952668,96.02146581191869,92.45975117922626,11.338094051166578,33.01907986369514,430.2645029194391,1.5034683864551348,0.3851750890175291,3.4670033856879896,7.936665835816605,0.9255917320874607
Adaptation & Resilience,3,8.230232866893182,98.44569155015792,94.76817718312219,11.514641045496454,33.27099018852644,432.9377198332789,1.5071878404440522,0.3870832277595619,3.493453969795276,8.060248731847517,0.9251626980401939
Adaptation & Resilience,4,8.306321059572259,100.93126423547433,97.13354905215311,11.693931447570977,33.524821346485915,435.63742506914184,1.5122370131898077,0.38968107760403375,3.5201062413810207,8.185752013299684,0.9244962312688454
Adaptation & Resilience,5,8.38303753485165,103.47962681369538,99.5571395160987,11.876022158101968,33.78055093821784,438.3637595536235,1.5186204734483981,0.3929778674609789,3.546957848512873,8.313215510671377,0.9235915001260864
Adaptation & Resilience,6,8.460366670605366,106.09225155332004,102.04024268463455,12.060971664403436,34.03815592577432,441.1168580717952,1.5263427144946031,0.3969846427882644,3.574006372206303,8.442680165082404,0.9224476859637898
Adaptation & Resilience,7,8.53829206089379,108.77064057277823,104.58417413754572,12.248840094912124,34.29761265550816,443.89684919370563,1.5354081512648519,0.40171428374138174,3.6012493288283562,8.574188066438484,0.9210639836588541
Adaptation & Resilience,8,8.616796499446753,111.51632638730351,107.19027101049811,12.439689276331444,34.558896883918436,446.7038552064534,1.5458211175803271,0.4071815228557625,3.628684172811435,8.70778249343201,0.9194396021251272
Adaptation & Resilience,9,8.695861963492838,114.33087247732954,109.85989207712743,12.633582793556714,34.82198380658824,449.5379920523998,1.5575858634531783,0.4134029622337727,3.656308299691765,8.8435079554897,0.9175737648110971
Adaptation & Resilience,10,8.775469597973409,117.21587388048704,112.59441782832552,12.830586052549014,35.08684809035666,452.39936927411276,1.5707065524787946,0.4203970902095694,3.684119049487449,8.98141023678431,0.9154657101823949
